,Dendritic_cells,SMC,Epitel,Bcell,Neutrophils,Tcell,Mono_Macro,Erythroblast,BM_HSC,Vascular,Gametes,ES_iPS,Keratinocytes,NKcells,Adipocytes,Bone_etc,MSC,Plt,Bladder,Fibroblasts,Centrocytes,Hepatocytes,Neuron,Endocrine,A,B,C
B,0.786285662,0.883177983,0.770419369,0.784408379,0.659217091,0.763693684,0.807909689,0.749255868,0.807144828,0.864753057,0.639417288,0.869374321,0.783961075,0.772291568,0.851881953,0.856733158,0.854364746,0.6630673,0.840027975,0.883515639,0.755973882,0.76947974,0.863483604,0.810434972,0.922395579,1,0.936091849
C,0.775210464,0.848321685,0.755373984,0.789052742,0.658928384,0.768007914,0.797849963,0.759790721,0.805851793,0.839899021,0.635445301,0.862562689,0.783580253,0.777200465,0.818268481,0.823765969,0.825794122,0.66293585,0.82705526,0.847952238,0.76068202,0.752495011,0.838832118,0.810890851,0.912939476,0.936091849,1
A,0.768057543,0.820861947,0.748946939,0.77740107,0.651434078,0.759393245,0.790485391,0.756353707,0.796710058,0.821229391,0.637576429,0.856400924,0.774107837,0.762001723,0.798877856,0.797109375,0.795447582,0.6501184,0.803663772,0.819873819,0.751021772,0.792849747,0.812337131,0.799917727,1,0.922395579,0.912939476
Fibroblasts,0.819149321,0.953447335,0.812946301,0.769586299,0.664992867,0.753449464,0.822957488,0.731197148,0.803514608,0.910076523,0.664571142,0.872903091,0.799290529,0.746950407,0.936408169,0.949511009,0.931834924,0.664695602,0.858668114,1,0.752328173,0.76992225,0.888400915,0.789952774,0.819873819,0.883515639,0.847952238
SMC,0.817821142,1,0.804008005,0.775410935,0.674784796,0.764647345,0.827471505,0.738095046,0.804143451,0.912330126,0.654904276,0.860177305,0.805723507,0.75445813,0.926941991,0.945770074,0.941798461,0.676127034,0.865249219,0.953447335,0.743748506,0.770908778,0.894506678,0.801544895,0.820861947,0.883177983,0.848321685
ES_iPS,0.78419592,0.860177305,0.797217779,0.781250462,0.643489688,0.759078321,0.790866183,0.754605794,0.808919582,0.86368822,0.694391103,1,0.793885903,0.749717707,0.844507137,0.856044943,0.844034169,0.665598667,0.832742419,0.872903091,0.776079105,0.7591058,0.859598866,0.847090407,0.856400924,0.869374321,0.862562689
Vascular,0.855033096,0.912330126,0.839585203,0.792235778,0.703458855,0.782478251,0.852092255,0.766230086,0.831482959,1,0.695654771,0.86368822,0.821449638,0.763578768,0.884304132,0.907477641,0.901642374,0.692688043,0.878475516,0.910076523,0.774966304,0.777423808,0.865669967,0.794414033,0.821229391,0.864753057,0.839899021
Neuron,0.787783633,0.894506678,0.760638719,0.76093713,0.652929266,0.738496723,0.801663084,0.726401085,0.78258877,0.865669967,0.625700289,0.859598866,0.764597708,0.740575988,0.866504049,0.875672253,0.880213939,0.647473916,0.835621575,0.888400915,0.727407415,0.731618735,1,0.809769623,0.812337131,0.863483604,0.838832118
Bone_etc,0.828617688,0.945770074,0.830756638,0.764870216,0.676207312,0.76163875,0.824984027,0.736614243,0.800490814,0.907477641,0.685852112,0.856044943,0.813752179,0.73684227,0.933940833,1,0.947155715,0.694434038,0.853315468,0.949511009,0.76113841,0.780045546,0.875672253,0.78097574,0.797109375,0.856733158,0.823765969
MSC,0.820010389,0.941798461,0.801454609,0.75804797,0.682859018,0.748776479,0.818286898,0.739049587,0.788575301,0.901642374,0.659840204,0.844034169,0.811852002,0.733456254,0.91648679,0.947155715,1,0.671551136,0.86071327,0.931834924,0.736997692,0.768538489,0.880213939,0.780296821,0.795447582,0.854364746,0.825794122
Adipocytes,0.805012541,0.926941991,0.800753751,0.752242616,0.651818506,0.734711172,0.810618013,0.709785673,0.785972474,0.884304132,0.651416575,0.844507137,0.783581344,0.729811372,1,0.933940833,0.91648679,0.663435794,0.831867003,0.936408169,0.7317817,0.781648774,0.866504049,0.771478473,0.798877856,0.851881953,0.818268481
Bladder,0.81500456,0.865249219,0.863290448,0.750413749,0.677320967,0.737782837,0.817689752,0.721095928,0.781724678,0.878475516,0.644126213,0.832742419,0.857944767,0.724728299,0.831867003,0.853315468,0.86071327,0.639954808,1,0.858668114,0.734101775,0.758351251,0.835621575,0.753518293,0.803663772,0.840027975,0.82705526
Endocrine,0.725719837,0.801544895,0.693924449,0.756457643,0.61296304,0.738805156,0.743751783,0.730815032,0.764062309,0.794414033,0.625920379,0.847090407,0.722482885,0.734228026,0.771478473,0.78097574,0.780296821,0.636453991,0.753518293,0.789952774,0.730234128,0.688707102,0.809769623,1,0.799917727,0.810434972,0.810890851
Mono_Macro,0.971150132,0.827471505,0.779072438,0.88660898,0.848855782,0.878604892,1,0.798161929,0.925114518,0.852092255,0.65333983,0.790866183,0.798638064,0.859291312,0.810618013,0.824984027,0.818286898,0.759773933,0.817689752,0.822957488,0.830577458,0.757490264,0.801663084,0.743751783,0.790485391,0.807909689,0.797849963
BM_HSC,0.894129512,0.804143451,0.749207888,0.927026203,0.850625532,0.907827669,0.925114518,0.833411885,1,0.831482959,0.65941153,0.808919582,0.773618727,0.888301856,0.785972474,0.800490814,0.788575301,0.804630559,0.781724678,0.803514608,0.862095588,0.739012583,0.78258877,0.764062309,0.796710058,0.807144828,0.805851793
Dendritic_cells,1,0.817821142,0.799922138,0.85739693,0.828273244,0.854125731,0.971150132,0.793663672,0.894129512,0.855033096,0.677677685,0.78419592,0.810882128,0.820639773,0.805012541,0.828617688,0.820010389,0.743178608,0.81500456,0.819149321,0.810998192,0.757319054,0.787783633,0.725719837,0.768057543,0.786285662,0.775210464
Bcell,0.85739693,0.775410935,0.707199196,1,0.798704824,0.918728246,0.88660898,0.812551911,0.927026203,0.792235778,0.637362414,0.781250462,0.743310854,0.886700384,0.752242616,0.764870216,0.75804797,0.784003055,0.750413749,0.769586299,0.894818786,0.708296907,0.76093713,0.756457643,0.77740107,0.784408379,0.789052742
Keratinocytes,0.810882128,0.805723507,0.844829097,0.743310854,0.681199243,0.753058499,0.798638064,0.749562708,0.773618727,0.821449638,0.682484746,0.793885903,1,0.711559588,0.783581344,0.813752179,0.811852002,0.658657577,0.857944767,0.799290529,0.731267079,0.749000307,0.764597708,0.722482885,0.774107837,0.783961075,0.783580253
NKcells,0.820639773,0.75445813,0.671565005,0.886700384,0.787778454,0.912458863,0.859291312,0.774666895,0.888301856,0.763578768,0.587464306,0.749717707,0.711559588,1,0.729811372,0.73684227,0.733456254,0.748972044,0.724728299,0.746950407,0.815323222,0.677827253,0.740575988,0.734228026,0.762001723,0.772291568,0.777200465
Epitel,0.799922138,0.804008005,1,0.707199196,0.641092481,0.710031699,0.779072438,0.690967329,0.749207888,0.839585203,0.694895851,0.797217779,0.844829097,0.671565005,0.800753751,0.830756638,0.801454609,0.618225946,0.863290448,0.812946301,0.716205526,0.7524588,0.760638719,0.693924449,0.748946939,0.770419369,0.755373984
Hepatocytes,0.757319054,0.770908778,0.7524588,0.708296907,0.624402366,0.696524238,0.757490264,0.68042843,0.739012583,0.777423808,0.620509986,0.7591058,0.749000307,0.677827253,0.781648774,0.780045546,0.768538489,0.639242563,0.758351251,0.76992225,0.697010087,1,0.731618735,0.688707102,0.792849747,0.76947974,0.752495011
Tcell,0.854125731,0.764647345,0.710031699,0.918728246,0.807148413,1,0.878604892,0.829108668,0.907827669,0.782478251,0.646061042,0.759078321,0.753058499,0.912458863,0.734711172,0.76163875,0.748776479,0.797358009,0.737782837,0.753449464,0.84791018,0.696524238,0.738496723,0.738805156,0.759393245,0.763693684,0.768007914
Centrocytes,0.810998192,0.743748506,0.716205526,0.894818786,0.732800056,0.84791018,0.830577458,0.777283545,0.862095588,0.774966304,0.639503379,0.776079105,0.731267079,0.815323222,0.7317817,0.76113841,0.736997692,0.723835896,0.734101775,0.752328173,1,0.697010087,0.727407415,0.730234128,0.751021772,0.755973882,0.76068202
Erythroblast,0.793663672,0.738095046,0.690967329,0.812551911,0.715134257,0.829108668,0.798161929,1,0.833411885,0.766230086,0.666662858,0.754605794,0.749562708,0.774666895,0.709785673,0.736614243,0.739049587,0.706014425,0.721095928,0.731197148,0.777283545,0.68042843,0.726401085,0.730815032,0.756353707,0.749255868,0.759790721
Plt,0.743178608,0.676127034,0.618225946,0.784003055,0.712996388,0.797358009,0.759773933,0.706014425,0.804630559,0.692688043,0.594538036,0.665598667,0.658657577,0.748972044,0.663435794,0.694434038,0.671551136,1,0.639954808,0.664695602,0.723835896,0.639242563,0.647473916,0.636453991,0.6501184,0.6630673,0.66293585
Neutrophils,0.828273244,0.674784796,0.641092481,0.798704824,1,0.807148413,0.848855782,0.715134257,0.850625532,0.703458855,0.568098331,0.643489688,0.681199243,0.787778454,0.651818506,0.676207312,0.682859018,0.712996388,0.677320967,0.664992867,0.732800056,0.624402366,0.652929266,0.61296304,0.651434078,0.659217091,0.658928384
Gametes,0.677677685,0.654904276,0.694895851,0.637362414,0.568098331,0.646061042,0.65333983,0.666662858,0.65941153,0.695654771,1,0.694391103,0.682484746,0.587464306,0.651416575,0.685852112,0.659840204,0.594538036,0.644126213,0.664571142,0.639503379,0.620509986,0.625700289,0.625920379,0.637576429,0.639417288,0.635445301
